City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ahmadpur East,PK,79.74,clear sky,29.1431,71.2598,
5,Cape Town,ZA,59.41,few clouds,-33.9258,18.4232,
6,Debre Tabor,ET,57.85,light rain,11.85,38.0167,
8,Castro,BR,63.63,overcast clouds,-24.7911,-50.0119,
9,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,
10,San Jeronimo,PE,47.98,overcast clouds,-11.9472,-75.2829,
12,Punta Arenas,CL,44.71,scattered clouds,-53.15,-70.9167,
13,Margate,GB,46.31,overcast clouds,51.3813,1.3862,
14,Bredasdorp,ZA,58.32,overcast clouds,-34.5322,20.0403,
18,Busselton,AU,64.51,few clouds,-33.65,115.3333,
19,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,
21,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,
22,Tuatapere,NZ,63.48,scattered clouds,-46.1333,167.6833,
25,Laguna,US,68.29,clear sky,38.421,-121.4238,
26,Usagara,TZ,65.89,broken clouds,-2.6833,33.0,
29,Katsuura,JP,62.62,overcast clouds,35.1333,140.3,
32,Surt,LY,56.82,few clouds,31.2089,16.5887,
33,Bone,DE,42.3,clear sky,51.9669,12.1396,
34,Mataura,NZ,64.47,scattered clouds,-46.1927,168.8643,
36,Palaikastron,GR,46.8,scattered clouds,35.2,26.25,
37,Port Elizabeth,ZA,63.1,few clouds,-33.918,25.5701,
39,Ponta Delgada,PT,56.5,broken clouds,37.7333,-25.6667,
40,Richards Bay,ZA,76.14,clear sky,-28.783,32.0377,
41,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,
43,Taoudenni,ML,76.82,clear sky,22.6783,-3.9836,
44,Aswan,EG,57.54,clear sky,24.0934,32.907,
47,Virginia Beach,US,44.02,clear sky,36.8529,-75.978,
48,Port Alfred,ZA,67.37,light rain,-33.5906,26.891,
50,Bluff,NZ,64.8,few clouds,-46.6,168.3333,
52,Sinnamary,GF,76.59,overcast clouds,5.3833,-52.95,
54,Hamilton,US,50.95,clear sky,39.1834,-84.5333,
56,Aksu,CN,53.19,overcast clouds,41.1231,80.2644,
60,Galle,LK,78.82,overcast clouds,6.0367,80.217,
61,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,
62,Touros,BR,79.84,broken clouds,-5.1989,-35.4608,
63,Ribeira Grande,PT,56.17,overcast clouds,38.5167,-28.7,
65,Ponta Do Sol,PT,58.12,scattered clouds,32.6667,-17.1,
71,Hasaki,JP,61.2,moderate rain,35.7333,140.8333,
72,Gat,IL,47.8,overcast clouds,31.61,34.7642,
74,Bystrzyca Klodzka,PL,40.75,clear sky,50.3018,16.6423,
79,Andros Town,BS,71.56,broken clouds,24.7,-77.7667,
80,Pisco,PE,73.45,few clouds,-13.7,-76.2167,
82,Dambulla,LK,70.36,overcast clouds,7.86,80.6517,
83,Vao,NC,79.72,few clouds,-22.6667,167.4833,
85,Chachapoyas,PE,57.15,overcast clouds,-6.2317,-77.869,
86,Natalio,PY,68.85,clear sky,-26.7167,-55.0833,
87,Halle,DE,40.91,clear sky,51.5,12.0,
88,Temascalcingo,MX,73.31,clear sky,19.9167,-100.0,
89,San Gabriel Casa Blanca,MX,78.76,clear sky,18.15,-97.1333,
90,Cidreira,BR,68.65,overcast clouds,-30.1811,-50.2056,
93,Dawlatabad,AF,58.62,overcast clouds,36.4141,64.9053,
99,Meulaboh,ID,76.73,broken clouds,4.1363,96.1285,
100,Geraldton,AU,64.81,clear sky,-28.7667,114.6,
103,Atuona,PF,78.91,overcast clouds,-9.8,-139.0333,
104,Muros,ES,45.84,light rain,42.7762,-9.0603,
106,Port Lincoln,AU,73.51,overcast clouds,-34.7333,135.8667,
107,Keshorai Patan,IN,76.03,clear sky,25.3,75.9333,
108,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,
109,Tura,IN,68.7,few clouds,25.5198,90.2201,
110,Saint George,US,69.64,clear sky,37.1041,-113.5841,
111,Goure,NE,78.03,overcast clouds,13.9835,10.2704,
112,Angoche,MZ,76.82,moderate rain,-16.2325,39.9086,
117,Adrar,MR,70.02,clear sky,20.5022,-10.0711,
118,Asfi,MA,59.13,overcast clouds,32.2994,-9.2372,
120,Weston,US,70.02,broken clouds,26.1004,-80.3998,
122,Hermanus,ZA,52.81,overcast clouds,-34.4187,19.2345,
124,Saldanha,ZA,60.15,overcast clouds,-33.0117,17.9442,
125,Marsala,IT,53.89,scattered clouds,37.7966,12.4352,
126,Bijawar,IN,72.72,clear sky,24.6333,79.5,
128,Veraval,IN,78.17,clear sky,20.9,70.3667,
129,Ranfurly,NZ,66.11,few clouds,-45.1333,170.1,
130,Hobart,AU,62.46,broken clouds,-42.8794,147.3294,
