City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahmadpur East,PK,29.1431,71.2598,79.74,26,0,5.55,clear sky
1,Jamestown,US,42.097,-79.2353,27.01,55,100,10.36,overcast clouds
2,Temirtau,KZ,50.0544,72.9483,17.26,96,100,5.66,light snow
3,Puerto Ayora,EC,-0.7393,-90.3518,80.55,89,43,3.0,scattered clouds
4,Schwarzenbach,DE,49.7333,12.0,35.22,41,0,4.61,clear sky
5,Cape Town,ZA,-33.9258,18.4232,59.41,63,20,8.05,few clouds
6,Debre Tabor,ET,11.85,38.0167,57.85,64,88,0.67,light rain
7,Rikitea,PF,-23.1203,-134.9692,80.29,72,99,14.92,overcast clouds
8,Castro,BR,-24.7911,-50.0119,63.63,98,100,2.06,overcast clouds
9,Saint-Philippe,RE,-21.3585,55.7679,76.59,88,86,12.21,light rain
10,San Jeronimo,PE,-11.9472,-75.2829,47.98,91,100,1.32,overcast clouds
11,Koutiala,ML,12.3917,-5.4642,86.36,14,81,8.16,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,34.52,scattered clouds
13,Margate,GB,51.3813,1.3862,46.31,90,100,16.26,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,58.32,63,99,8.05,overcast clouds
15,Djibo,BF,14.1022,-1.6306,84.9,16,99,8.79,overcast clouds
16,Oranjemund,NA,-28.55,16.4333,62.11,75,85,18.32,overcast clouds
17,Kenai,US,60.5544,-151.2583,30.15,62,100,31.07,overcast clouds
18,Busselton,AU,-33.65,115.3333,64.51,87,12,7.07,few clouds
19,Carnarvon,AU,-24.8667,113.6333,71.67,78,0,16.11,clear sky
20,Albany,US,42.6001,-73.9662,31.77,45,100,8.01,overcast clouds
21,Mahebourg,MU,-20.4081,57.7,79.09,83,20,6.91,few clouds
22,Tuatapere,NZ,-46.1333,167.6833,63.48,67,47,3.76,scattered clouds
23,Tadine,NC,-21.55,167.8833,81.36,77,47,9.86,scattered clouds
24,Pinega,RU,64.7001,43.3936,23.5,90,100,9.04,overcast clouds
25,Laguna,US,38.421,-121.4238,68.29,37,0,6.91,clear sky
26,Usagara,TZ,-2.6833,33.0,65.89,83,84,7.65,broken clouds
27,Longyearbyen,SJ,78.2186,15.6401,22.84,93,40,4.61,scattered clouds
28,Kapaa,US,22.0752,-159.319,80.58,68,20,9.22,few clouds
29,Katsuura,JP,35.1333,140.3,62.62,82,100,27.04,overcast clouds
30,Tual,ID,-5.6667,132.75,83.21,74,93,3.58,overcast clouds
31,Ostrovnoy,RU,68.0531,39.5131,25.9,88,100,1.19,overcast clouds
32,Surt,LY,31.2089,16.5887,56.82,69,12,14.14,few clouds
33,Bone,DE,51.9669,12.1396,42.3,52,0,10.07,clear sky
34,Mataura,NZ,-46.1927,168.8643,64.47,58,28,3.36,scattered clouds
35,Alofi,NU,-19.0595,-169.9187,84.09,74,10,4.61,clear sky
36,Palaikastron,GR,35.2,26.25,46.8,54,40,18.03,scattered clouds
37,Port Elizabeth,ZA,-33.918,25.5701,63.1,88,20,26.46,few clouds
38,Dikson,RU,73.5069,80.5464,-5.17,97,100,17.02,overcast clouds
39,Ponta Delgada,PT,37.7333,-25.6667,56.5,62,75,11.5,broken clouds
40,Richards Bay,ZA,-28.783,32.0377,76.14,82,0,13.13,clear sky
41,New Norfolk,AU,-42.7826,147.0587,62.1,63,100,2.19,overcast clouds
42,Takhtamygda,RU,54.1,123.5667,3.42,87,89,3.2,overcast clouds
43,Taoudenni,ML,22.6783,-3.9836,76.82,10,0,7.09,clear sky
44,Aswan,EG,24.0934,32.907,57.54,33,0,15.55,clear sky
45,Tasiilaq,GL,65.6145,-37.6368,30.36,87,100,29.62,light snow
46,Mandalgovi,MN,45.7625,106.2708,26.96,57,54,12.08,broken clouds
